Sl.,State/Zone,N_2015_16,P_2015_16,K_2015_16,Total_2015_16,N_2016_17,P_2016_17,K_2016_17,Total_2016_17,N_2017_18,P_2017_18,K_2017_18,Total_2017_18,N_2018_19,P_2018_19,K_2018_19,Total_2018_19,N_2019_20,P_2019_20,K_2019_20,Total_2019_20
1,Andhra Pradesh,133,63.7,24.1,220.8,127.8,62.3,29.2,219.4,122.1,56.2,29.3,207.7,124.5,57.3,27.2,209,131.8,65.8,28.4,226
2,Telangana,165.1,61.7,20.9,247.6,174.3,60.3,23.5,258.1,183.3,71.3,29.8,284.4,146.6,56.6,18.9,222.1,170.8,64.1,21.8,256.6
3,Karnataka,80.2,43.4,21.8,145.3,71.5,41.7,19.7,132.9,73.1,38.2,21.5,132.8,78.1,44.7,25.6,148.4,87.2,46.3,24,157.5
4,Kerala,42.3,15.7,29.2,87.1,29.9,16.5,22.3,68.7,52.6,16.5,23,92.1,28.3,15.8,26.3,70.5,29.2,14.3,21.7,65.1
5,TamilNadu,113.9,44.5,32.5,190.9,85.7,38.6,27.2,151.5,87,34.4,30,151.5,108.4,41.5,38.2,188.1,109.5,45.2,31.7,186.5
6,Puducherry,280,55.6,50.7,386.3,280,55.6,50.7,386.3,294.3,58.4,53.3,406,249.6,51.5,47.3,348.5,261.1,65.2,24.8,351.1
7,A&N Islands,,,,,24.6,26.3,15.8,66.7,12.9,14.6,9.2,36.7,8.1,6.7,2.5,17.3,1.8,0.6,0.5,3
8,Lakshadweep,,,,,,,,,,,,,,,,,,,,
SZ,SOUTH ZONE,108.6,48.9,24.7,182.1,99.8,46.8,24,170.6,101.5,44.8,26.2,172.5,101.8,46.9,26.7,175.4,111.3,51.2,25.6,188.1
9,Gujarat,86.3,24.5,7.9,118.7,89.5,26.6,9.5,125.6,100.9,32.6,10.7,144.2,98.5,29.9,10.2,138.7,113.2,33.6,10.2,157
10,Madhya Pradesh,51.8,27.3,3.4,82.6,53.4,25.9,3.9,83.2,53.3,27.6,4.1,85,57.4,29.6,4,91,63.8,32.2,4.4,100.4
11,Chhattisgarh,68.2,33.1,10,11.3,76.9,38.6,11.1,117.6,58.5,30,9.1,97.6,55.1,31.3,11.2,97.6,70.7,37,11.7,119.4
12,Maharashtra,61.8,35.9,18.4,116.1,65.7,34.1,19.8,119.5,64.3,37.5,23.6,125.4,59.8,35.8,22.4,118,64.5,35.9,19.9,120.3
13,Rajasthan,44.1,18.3,0.8,63.2,41.2,14.1,0.6,55.9,34.5,12.7,1,48.1,43,16.3,1.6,60.8,49.1,19.7,1.5,70.3
14,Goa,15,9.2,6.5,30.6,14.1,9.7,6.1,28.9,10.6,8.3,6,24.9,10.6,8.2,5.5,24.3,8.3,5.7,6.3,20.3
15,Daman & Diu,46.7,6.7,,53.3,46.7,3.3,3.3,53.3,46.7,,,46.7,46.7,3.3,,50,,,,
